"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_veh","color_veh","modelo_veh","causa_acc","ano_ocu","muni_ocu","grupo_edad_pil","mayor_men","marca_veh","grupo_mod_veh","grupo_hor_ocu","grupo_eda_pil"
6,"Septiembre","Lunes",15,"Huehuetenango","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
6,"Septiembre","Lunes",15,"Huehuetenango","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
6,"Septiembre","Lunes",15,"Huehuetenango","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
21,"Febrero","Domingo",7,"San Marcos","Rural",99,"Mujer",99,"Ignorado","Automovil","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
13,"Septiembre","Lunes",1,"Guatemala","Urbano",10,"Ignorado",10,"Ignorado","Automovil","Gris","10","Choque",2010,NA,NA,NA,NA,NA,NA,NA
23,"Julio","Viernes",8,"Quiche","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Negro","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
1,"Abril","Jueves",20,"Peten","Urbano",99,"Hombre",99,"No Ebrio","Motocicleta","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
25,"Diciembre","Sabado",2,"Alta Verapaz","Rural",99,"Hombre",99,"No Ebrio","Automovil","Verde","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
5,"Junio","Sabado",2,"Izabal","Rural",99,"Mujer",99,"No Ebrio","Bus urbano","Amarillo","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
21,"Noviembre","Domingo",2,"Escuintla","Rural",99,"Mujer",99,"No Ebrio","Automovil","Azul","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
19,"Noviembre","Viernes",7,"Quiche","Rural",99,"Ignorado",99,"No Ebrio","Bus urbano","Blanco","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
28,"Septiembre","Martes",8,"Escuintla","Rural",99,"Mujer",99,"Ignorado","Automovil","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
9,"Septiembre","Jueves",9,"Guatemala","Rural",99,"Hombre",99,"Ignorado","Automovil","Blanco","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
9,"Mayo","Domingo",9,"Suchitepequez","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Cafe","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
16,"Febrero","Martes",11,"Peten","Rural",99,"Hombre",99,"Ignorado","Pick-up","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
15,"Septiembre","Miercoles",12,"Huehuetenango","Urbano",10,"Mujer",10,"Ignorado","Motocicleta","Ignorado","10","Colision",2010,NA,NA,NA,NA,NA,NA,NA
4,"Abril","Domingo",13,"Izabal","Rural",99,"Hombre",99,"No Ebrio","Bus urbano","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
30,"Enero","Sabado",13,"Zacapa","Rural",99,"Hombre",99,"Ignorado","Pick-up","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
26,"Abril","Lunes",13,"Peten","Rural",99,"Hombre",99,"No Ebrio","Microbus","Blanco","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
11,"Abril","Domingo",15,"Chimaltenango","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
19,"Diciembre","Domingo",15,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Camioneta","Corinto","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
16,"Mayo","Domingo",16,"Guatemala","Urbano",7,"Hombre",7,"No Ebrio","Automovil","Negro","7","Colision",2010,NA,NA,NA,NA,NA,NA,NA
7,"Junio","Lunes",16,"Santa Rosa","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Rojo","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
10,"Octubre","Domingo",19,"Izabal","Rural",99,"Ignorado",99,"Ignorado","Camioneta","Ignorado","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
20,"Noviembre","Sabado",12,"Peten","Rural",99,"Hombre",99,"No Ebrio","Microbus","Beige","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
14,"Diciembre","Martes",16,"San Marcos","Rural",99,"Hombre",99,"Ignorado","Pick-up","Corinto","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
