<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","estado_pil","grupo_mode_veh"
27,2,"Enero","Miercoles",10,"Alta Verapaz","Senahú","RURAL","Ignorado","Hombre","42","Mayor","Bus urbano","Amarillo","1990-1999","VUELCO","Ford","40-44","NORMAL","1990-1999"
28,3,"Enero","Jueves",11,"Guatemala","Guatemala","URBANO","10","Hombre","24","Mayor","Bus urbano","Rojo","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
29,3,"Enero","Jueves",11,"Guatemala","Guatemala","URBANO","10","Hombre","64","Mayor","Bus urbano","Rojo","1990-1999","COLISION","Blue bird","55 y más","NORMAL","1990-1999"
30,3,"Enero","Jueves",21,"Guatemala","Mixco","URBANO","6","Hombre","39","Mayor","Pick up","Blanco","Ignorado","COLISION","Mitsubishi","35-39","EBRIO","Ignorado"
31,3,"Enero","Jueves",21,"Guatemala","Mixco","URBANO","6","Hombre","40","Mayor","Pick up","Beige","Ignorado","COLISION","Mazda","40-44","NORMAL","Ignorado"
32,3,"Enero","Jueves",14,"Escuintla","Escuintla","URBANO","3","Hombre","31","Mayor","Camión","Blanco","Ignorado","COLISION","Ignorado","30-34","NORMAL","Ignorado"
33,3,"Enero","Jueves",14,"Escuintla","Escuintla","URBANO","3","Hombre","22","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
34,3,"Enero","Jueves",19,"Quetzaltenango","Colomba","RURAL","Ignorado","Hombre","56","Mayor","Camioneta","Corinto","Ignorado","COLISION","Dodge_duplicated_11","55 y más","EBRIO","Ignorado"
35,3,"Enero","Jueves",19,"Quetzaltenango","Colomba","RURAL","Ignorado","Hombre","56","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Ignorado","55 y más","EBRIO","Ignorado"
36,3,"Enero","Jueves",20,"Huehuetenango","Huehuetenango","RURAL","Ignorado","Hombre","27","Mayor","Pick up","Azul","Ignorado","VUELCO","Toyota","25-29","NORMAL","Ignorado"
37,3,"Enero","Jueves",22,"El Progreso","San Agustín Acasagustlán","RURAL","Ignorado","Hombre","60","Mayor","Microbus","Blanco","Ignorado","COLISION","Hyundai","55 y más","NORMAL","Ignorado"
38,3,"Enero","Jueves",22,"El Progreso","San Agustín Acasagustlán","RURAL","Ignorado","Hombre","30","Mayor","Cabezal","Gris","1990-1999","COLISION","Freightliner","30-34","NORMAL","1990-1999"
39,3,"Enero","Jueves",16,"Solola","Sololá","RURAL","Ignorado","Hombre","65","Mayor","Microbus","Gris","Ignorado","VUELCO","Hyundai","55 y más","NORMAL","Ignorado"
40,4,"Enero","Viernes",17,"Guatemala","Guatemala","URBANO","9","Hombre","26","Mayor","Automovil","Blanco","Ignorado","COLISION","Mazda","25-29","EBRIO","Ignorado"
41,4,"Enero","Viernes",17,"Guatemala","Guatemala","URBANO","9","Hombre","22","Mayor","Motocicleta","Negro","Ignorado","COLISION","Suzuki","20-24","NORMAL","Ignorado"
42,4,"Enero","Viernes",7,"Guatemala","Guatemala","URBANO","18","Hombre","39","Mayor","Motocicleta","Ignorado","Ignorado","VUELCO","Ignorado","35-39","IGNORADO","Ignorado"
43,4,"Enero","Viernes",6,"Chiquimula","Concepción Las Minas","RURAL","Ignorado","Hombre","47","Mayor","Tractor","Amarillo","Ignorado","COLISION","Ignorado","45-49","NORMAL","Ignorado"
44,4,"Enero","Viernes",6,"Chiquimula","Concepción Las Minas","RURAL","Ignorado","Hombre","71","Mayor","Automovil","Blanco","1980-1989","COLISION","Ignorado","55 y más","NORMAL","1980-1989"
45,4,"Enero","Viernes",15,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","42","Mayor","Automovil","Gris","Ignorado","COLISION","Honda","40-44","IGNORADO","Ignorado"
46,4,"Enero","Viernes",15,"Escuintla","Escuintla","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Negro","Ignorado","COLISION","Freightliner","Ignorado","IGNORADO","Ignorado"
47,4,"Enero","Viernes",8,"Suchitepéquez","Mazatenango","URBANO","1","Hombre","41","Mayor","Jeep","Blanco","Ignorado","COLISION","Suzuki","40-44","NORMAL","Ignorado"
48,4,"Enero","Viernes",8,"Suchitepéquez","Mazatenango","URBANO","1","Hombre","37","Mayor","Motocicleta","Negro","Ignorado","COLISION","Bajaj","35-39","NORMAL","Ignorado"
49,4,"Enero","Viernes",20,"Quetzaltenango","Quetzaltenango","URBANO","7","Mujer","39","Mayor","Camioneta","Gris","2000-2009","COLISION","Suzuki","35-39","NORMAL","2000-2009"
50,4,"Enero","Viernes",20,"Quetzaltenango","Quetzaltenango","URBANO","7","Ignorado","Ignorado","Ignorado","Pick up","Azul","1980-1989","COLISION","Toyota","Ignorado","IGNORADO","1980-1989"
51,4,"Enero","Viernes",18,"Baja Verapaz","Salamá","RURAL","Ignorado","Hombre","46","Mayor","Automovil","Ignorado","Ignorado","VUELCO","Ignorado","45-49","IGNORADO","Ignorado"
52,4,"Enero","Viernes",14,"El Progreso","El Jícaro","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Corinto","1980-1989","CAIDA","Ignorado","Ignorado","IGNORADO","1980-1989"
53,4,"Enero","Viernes",17,"Solola","Sololá","RURAL","Ignorado","Hombre","46","Mayor","Camioneta","Anaranjado","Ignorado","VUELCO","Suzuki","45-49","IGNORADO","Ignorado"
54,5,"Enero","Sabado",8,"Guatemala","San José Pinula","RURAL","Ignorado","Hombre","47","Mayor","Camión","Blanco","1990-1999","COLISION","Nissan_duplicated_37","45-49","IGNORADO","1990-1999"
55,5,"Enero","Sabado",8,"Guatemala","San José Pinula","RURAL","Ignorado","Hombre","30","Mayor","Automovil","Azul","Ignorado","COLISION","Mazda","30-34","IGNORADO","Ignorado"
56,5,"Enero","Sabado",12,"Chiquimula","Chiquimula","RURAL","Ignorado","Hombre","17","Menor","Motocicleta","Corinto","Ignorado","COLISION","Ignorado","15-19","IGNORADO","Ignorado"
57,5,"Enero","Sabado",12,"Chiquimula","Chiquimula","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Verde","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
58,5,"Enero","Sabado",8,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","57","Mayor","Camión","Azul","1990-1999","COLISION","Freightliner","55 y más","IGNORADO","1990-1999"
59,5,"Enero","Sabado",8,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","34","Mayor","Motocicleta","Azul","2010-2013","COLISION","Bajaj","30-34","IGNORADO","2010-2014"
60,5,"Enero","Sabado",7,"Quetzaltenango","El Palmar","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Bus extraurbano","Ignorado","Ignorado","CAIDA","Ignorado","Ignorado","IGNORADO","Ignorado"
61,5,"Enero","Sabado",9,"Huehuetenango","Huehuetenango","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Rojo","Ignorado","CHOQUE","Toyota","Ignorado","IGNORADO","Ignorado"
62,5,"Enero","Sabado",23,"El Progreso","Guastatoya","RURAL","Ignorado","Hombre","38","Mayor","Cabezal","Verde","1990-1999","COLISION","Freightliner","35-39","IGNORADO","1990-1999"
63,5,"Enero","Sabado",23,"El Progreso","Guastatoya","RURAL","Ignorado","Hombre","28","Mayor","Camión","Blanco","Ignorado","COLISION","Gmc","25-29","IGNORADO","Ignorado"
64,5,"Enero","Sabado",16,"Izabal","Morales","RURAL","Ignorado","Hombre","53","Mayor","Camioneta","Gris","1990-1999","COLISION","Toyota","50-54","IGNORADO","1990-1999"
65,5,"Enero","Sabado",16,"Izabal","Morales","RURAL","Ignorado","Hombre","45","Mayor","Camión","Blanco","Ignorado","COLISION","Isuzu","45-49","NORMAL","Ignorado"
66,6,"Enero","Domingo",9,"Guatemala","Guatemala","URBANO","1","Hombre","37","Mayor","Pick up","Blanco","Ignorado","COLISION","Toyota","35-39","NORMAL","Ignorado"
67,6,"Enero","Domingo",9,"Guatemala","Guatemala","URBANO","1","Hombre","23","Mayor","Microbus","Amarillo","Ignorado","COLISION","Mitsubishi","20-24","NORMAL","Ignorado"
68,6,"Enero","Domingo",0,"Guatemala","Guatemala","URBANO","9","Hombre","29","Mayor","Automovil","Negro","Ignorado","CHOQUE","Mazda","25-29","IGNORADO","Ignorado"
69,6,"Enero","Domingo",8,"Zacapa","Cabañas","URBANO","Ignorado","Hombre","19","Mayor","Motocicleta","Ignorado","Ignorado","VUELCO","Suzuki","15-19","NORMAL","Ignorado"
70,6,"Enero","Domingo",11,"Escuintla","Escuintla","URBANO","Ignorado","Hombre","28","Mayor","Cabezal","Blanco","1990-1999","COLISION","Freightliner","25-29","NORMAL","1990-1999"
71,6,"Enero","Domingo",11,"Escuintla","Escuintla","URBANO","Ignorado","Hombre","88","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Suzuki","55 y más","IGNORADO","Ignorado"
72,6,"Enero","Domingo",19,"Suchitepéquez","Mazatenango","URBANO","4","Hombre","24","Mayor","Motocicleta","Gris","2000-2009","VUELCO","Ignorado","20-24","EBRIO","2000-2009"
73,6,"Enero","Domingo",23,"Retalhuleu","Retalhuleu","URBANO","6","Hombre","34","Mayor","Pick up","Gris","Ignorado","CHOQUE","Isuzu","30-34","EBRIO","Ignorado"
74,6,"Enero","Domingo",17,"Huehuetenango","Huehuetenango","URBANO","Ignorado","Hombre","19","Mayor","Camioneta","Negro","Ignorado","CHOQUE","Toyota","15-19","EBRIO","Ignorado"
75,6,"Enero","Domingo",17,"Huehuetenango","Huehuetenango","URBANO","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Azul","Ignorado","CHOQUE","Toyota","Ignorado","IGNORADO","Ignorado"
76,6,"Enero","Domingo",0,"Totonicapán","Momostenango","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Bus extraurbano","Beige","Ignorado","VUELCO","Ignorado","Ignorado","IGNORADO","Ignorado"
77,6,"Enero","Domingo",20,"El Progreso","San Agustín Acasagustlán","RURAL","Ignorado","Hombre","35","Mayor","Automovil","Blanco","2000-2009","VUELCO","Volkwagen","35-39","NORMAL","2000-2009"
78,6,"Enero","Domingo",22,"Quiché","Zacualpa","RURAL","Ignorado","Hombre","43","Mayor","Pick up","Blanco","1990-1999","COLISION","Toyota","40-44","IGNORADO","1990-1999"
79,6,"Enero","Domingo",22,"Quiché","Zacualpa","RURAL","Ignorado","Hombre","21","Mayor","Microbus","Corinto","1990-1999","COLISION","Mitsubishi","20-24","IGNORADO","1990-1999"
80,6,"Enero","Domingo",13,"Chimaltenango","San Martín Jilotepeque","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Gris","1990-1999","CHOQUE","Toyota","Ignorado","IGNORADO","1990-1999"
81,7,"Enero","Lunes",5,"Guatemala","Guatemala","URBANO","12","Hombre","64","Mayor","Cabezal","Rojo","1990-1999","COLISION","Kenworth","55 y más","IGNORADO","1990-1999"
82,7,"Enero","Lunes",17,"Jutiapa","Jutiapa","URBANO","1","Hombre","25","Mayor","Automovil","Azul","Ignorado","CHOQUE","Mazda","25-29","IGNORADO","Ignorado"
83,7,"Enero","Lunes",17,"Jutiapa","Jutiapa","URBANO","1","Hombre","24","Mayor","Microbus","Blanco","Ignorado","CHOQUE","Toyota","20-24","IGNORADO","Ignorado"
84,7,"Enero","Lunes",19,"Jutiapa","Jutiapa","RURAL","Ignorado","Mujer","26","Mayor","Camioneta","Corinto","2000-2009","VUELCO","Chevrolet","25-29","NORMAL","2000-2009"
85,7,"Enero","Lunes",13,"Suchitepéquez","Santa Bárbara","RURAL","Ignorado","Hombre","18","Mayor","Mototaxi","Rojo","2000-2009","VUELCO","Bajaj","15-19","NORMAL","2000-2009"
86,7,"Enero","Lunes",15,"Quetzaltenango","Génova","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Ignorado","2010-2013","VUELCO","Bajaj","20-24","IGNORADO","2010-2014"
87,7,"Enero","Lunes",11,"Totonicapán","Momostenango","RURAL","Ignorado","Hombre","40","Mayor","Pick up","Ignorado","Ignorado","COLISION","Toyota","40-44","NORMAL","Ignorado"
88,7,"Enero","Lunes",11,"Totonicapán","Momostenango","RURAL","Ignorado","Hombre","35","Mayor","Camión","Ignorado","Ignorado","COLISION","Ignorado","35-39","NORMAL","Ignorado"
89,7,"Enero","Lunes",2,"Sacatepéquez","Alotenango","URBANO","1","Hombre","19","Mayor","Motocicleta","Rojo","Ignorado","CHOQUE","Ignorado","15-19","IGNORADO","Ignorado"
90,8,"Enero","Martes",12,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","23","Mayor","Mototaxi","Ignorado","Ignorado","VUELCO","Ignorado","20-24","IGNORADO","Ignorado"
91,8,"Enero","Martes",11,"Guatemala","Petapa","URBANO","7","Hombre","39","Mayor","Camión","Blanco","Ignorado","COLISION","International","35-39","NORMAL","Ignorado"
92,8,"Enero","Martes",11,"Guatemala","Petapa","URBANO","7","Hombre","34","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","30-34","NORMAL","Ignorado"
93,8,"Enero","Martes",6,"Chimaltenango","El Tejar","RURAL","Ignorado","Hombre","36","Mayor","Pick up","Azul","Ignorado","COLISION","Toyota","35-39","IGNORADO","Ignorado"
94,8,"Enero","Martes",6,"Chimaltenango","El Tejar","RURAL","Ignorado","Hombre","29","Mayor","Camión","Blanco","Ignorado","COLISION","Ignorado","25-29","IGNORADO","Ignorado"
95,8,"Enero","Martes",6,"Chimaltenango","El Tejar","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Verde","Ignorado","COLISION","Chevrolet","Ignorado","IGNORADO","Ignorado"
96,8,"Enero","Martes",6,"Chimaltenango","El Tejar","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
97,8,"Enero","Martes",17,"Zacapa","San Diego","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Mototaxi","Rojo","Ignorado","COLISION","Bajaj","Ignorado","IGNORADO","Ignorado"
98,8,"Enero","Martes",19,"San Marcos","Pajapita","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Corinto","Ignorado","CHOQUE","Toyota","Ignorado","IGNORADO","Ignorado"
99,9,"Enero","Miercoles",7,"Guatemala","Guatemala","URBANO","11","Hombre","28","Mayor","Bus urbano","Ignorado","Ignorado","COLISION","International","25-29","NORMAL","Ignorado"
100,9,"Enero","Miercoles",7,"Guatemala","Guatemala","URBANO","11","Hombre","47","Mayor","Bus urbano","Rojo","Ignorado","COLISION","Mazda","45-49","NORMAL","Ignorado"
101,9,"Enero","Miercoles",8,"Solola","Santa Lucia Utatlán","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Blanco","Ignorado","VUELCO","Toyota","Ignorado","IGNORADO","Ignorado"
102,10,"Enero","Jueves",8,"Guatemala","Guatemala","URBANO","11","Hombre","40","Mayor","Pick up","Rojo","1980-1989","COLISION","Chevrolet","40-44","EBRIO","1980-1989"
103,10,"Enero","Jueves",8,"Guatemala","Guatemala","URBANO","11","Mujer","63","Mayor","Camioneta","Negro","2000-2009","COLISION","Bmw","55 y más","NORMAL","2000-2009"
104,10,"Enero","Jueves",15,"Guatemala","Guatemala","URBANO","21","Mujer","38","Mayor","Camioneta","Azul","Ignorado","COLISION","Mitsubishi","35-39","NORMAL","Ignorado"
105,10,"Enero","Jueves",15,"Guatemala","Guatemala","URBANO","21","Hombre","20","Mayor","Motocicleta","Rojo","2000-2009","COLISION","Suzuki","20-24","NORMAL","2000-2009"
106,10,"Enero","Jueves",11,"Chiquimula","Jocotán","RURAL","Ignorado","Hombre","56","Mayor","Pick up","Verde","Ignorado","VUELCO","Mitsubishi","55 y más","NORMAL","Ignorado"
107,10,"Enero","Jueves",7,"Santa Rosa","Cuilapa","RURAL","Ignorado","Hombre","36","Mayor","Microbus","Gris","2000-2009","COLISION","Mitsubishi","35-39","NORMAL","2000-2009"
108,10,"Enero","Jueves",7,"Santa Rosa","Cuilapa","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Gris","2000-2009","COLISION","Honda","Ignorado","IGNORADO","2000-2009"
109,10,"Enero","Jueves",20,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Mujer","27","Mayor","Automovil","Blanco","1990-1999","COLISION","Mitsubishi","25-29","EBRIO","1990-1999"
110,10,"Enero","Jueves",20,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","34","Mayor","Mototaxi","Rojo","2010-2013","COLISION","Bajaj","30-34","NORMAL","2010-2014"
111,10,"Enero","Jueves",20,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","25","Mayor","Motocicleta","Negro","Ignorado","VUELCO","Bajaj","25-29","NORMAL","Ignorado"
112,10,"Enero","Jueves",14,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","RURAL","Ignorado","Hombre","19","Mayor","Microbus","Ignorado","2000-2009","COLISION","Toyota","15-19","NORMAL","2000-2009"
113,10,"Enero","Jueves",14,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","RURAL","Ignorado","Hombre","37","Mayor","Microbus","Azul","2010-2013","COLISION","Toyota","35-39","NORMAL","2010-2014"
114,10,"Enero","Jueves",4,"Alta Verapaz","San Pedro Carchá","RURAL","Ignorado","Hombre","32","Mayor","Automovil","Blanco","2000-2009","COLISION","Mitsubishi","30-34","EBRIO","2000-2009"
115,10,"Enero","Jueves",4,"Alta Verapaz","San Pedro Carchá","RURAL","Ignorado","Hombre","45","Mayor","Camioneta","Gris","2000-2009","COLISION","Hyundai","45-49","NORMAL","2000-2009"
116,10,"Enero","Jueves",20,"Quiché","Santa Cruz del Quiché","URBANO","1","Hombre","23","Mayor","Pick up","Celeste","1980-1989","CHOQUE","Toyota","20-24","EBRIO","1980-1989"
117,10,"Enero","Jueves",5,"Chimaltenango","Chimaltenango","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Rojo","Ignorado","CHOQUE","Bajaj","20-24","NORMAL","Ignorado"
118,11,"Enero","Viernes",9,"Guatemala","Guatemala","URBANO","1","Mujer","36","Mayor","Automovil","Gris","Ignorado","COLISION","Mitsubishi","35-39","NORMAL","Ignorado"
119,11,"Enero","Viernes",9,"Guatemala","Guatemala","URBANO","1","Mujer","Ignorado","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Italika","Ignorado","NORMAL","Ignorado"
120,11,"Enero","Viernes",7,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","24","Mayor","Camión","Blanco","Ignorado","COLISION","Ford","20-24","NORMAL","Ignorado"
121,11,"Enero","Viernes",7,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","Ignorado","Mayor","Automovil","Blanco","Ignorado","COLISION","Bmw","Ignorado","NORMAL","Ignorado"
122,11,"Enero","Viernes",1,"Guatemala","Guatemala","URBANO","11","Hombre","42","Mayor","Automovil","Gris","Ignorado","CHOQUE","Honda","40-44","NORMAL","Ignorado"
123,11,"Enero","Viernes",19,"Guatemala","Villa Nueva","URBANO","6","Hombre","30","Mayor","Pick up","Rojo","Ignorado","COLISION","Toyota","30-34","NORMAL","Ignorado"
124,11,"Enero","Viernes",19,"Guatemala","Villa Nueva","URBANO","6","Hombre","54","Mayor","Camión","Blanco","Ignorado","COLISION","Hino","50-54","NORMAL","Ignorado"
125,11,"Enero","Viernes",18,"Escuintla","San José","RURAL","Ignorado","Hombre","34","Mayor","Motocicleta","Corinto","Ignorado","COLISION","Bajaj","30-34","NORMAL","Ignorado"
126,11,"Enero","Viernes",18,"Escuintla","San José","RURAL","Ignorado","Hombre","58","Mayor","Ignorado","Ignorado","Ignorado","COLISION","Ignorado","55 y más","NORMAL","Ignorado"
127,11,"Enero","Viernes",8,"Suchitepéquez","Cuyotenango","RURAL","Ignorado","Hombre","30","Mayor","Automovil","Verde","1990-1999","COLISION","Toyota","30-34","NORMAL","1990-1999"
128,11,"Enero","Viernes",8,"Suchitepéquez","Cuyotenango","RURAL","Ignorado","Hombre","35","Mayor","Motocicleta","Rojo","2010-2013","COLISION","Sniper","35-39","NORMAL","2010-2014"
129,11,"Enero","Viernes",4,"San Marcos","San Marcos","RURAL","Ignorado","Hombre","29","Mayor","Pick up","Blanco","1990-1999","CHOQUE","Mitsubishi","25-29","EBRIO","1990-1999"
130,11,"Enero","Viernes",5,"Alta Verapaz","Chisec","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
131,11,"Enero","Viernes",5,"Alta Verapaz","Chisec","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Blanco","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
132,11,"Enero","Viernes",16,"Izabal","Los Amates","RURAL","Ignorado","Hombre","31","Mayor","Camión","Negro","Ignorado","CHOQUE","Ford","30-34","EBRIO","Ignorado"
133,11,"Enero","Viernes",16,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","43","Mayor","Automovil","Rojo","2000-2009","COLISION","Mazda","40-44","NORMAL","2000-2009"
134,11,"Enero","Viernes",16,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","44","Mayor","Motocicleta","Rojo","2010-2013","COLISION","Freedom","40-44","NORMAL","2010-2014"
135,11,"Enero","Viernes",19,"Solola","Santa Catalina Ixtahuacán","RURAL","Ignorado","Hombre","20","Mayor","Automovil","Blanco","Ignorado","COLISION","Chevrolet","20-24","NORMAL","Ignorado"
136,11,"Enero","Viernes",19,"Solola","Santa Catalina Ixtahuacán","RURAL","Ignorado","Hombre","37","Mayor","Camioneta","Gris","2000-2009","COLISION","Hyundai","35-39","NORMAL","2000-2009"
137,12,"Enero","Sabado",23,"Guatemala","Guatemala","URBANO","1","Hombre","31","Mayor","Automovil","Gris","1990-1999","COLISION","Nissan_duplicated_37","30-34","EBRIO","1990-1999"
138,12,"Enero","Sabado",23,"Guatemala","Guatemala","URBANO","1","Hombre","52","Mayor","Taxi","Blanco","2000-2009","COLISION","Chevrolet","50-54","NORMAL","2000-2009"
