"num_vehí","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","condic_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
118,9,"Enero","Lunes",16,"Quetzaltenango","San Juan Ostuncalco","Rural","Ignorado","Mujer","24","20-24","Mayor","Normal","Automovil","Anaranjado","2011","Colisión"
119,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Ignorado","Vuelco"
120,9,"Enero","Lunes",20,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Hombre","44","40-44","Mayor","Ebrio","Pick up","Gris","Ignorado","Colisión"
121,9,"Enero","Lunes",20,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Pick up","Amarillo","2006","Colisión"
122,9,"Enero","Lunes",7,"Solola","San Pedro La Laguna","Rural","Ignorado","Hombre","34","30-34","Mayor","Normal","Camión","Anaranjado","1995","Vuelco"
123,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Bus extraurbano","Verde","Ignorado","Vuelco"
124,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Bus extraurbano","Verde","Ignorado","Vuelco"
125,9,"Enero","Lunes",15,"Sacatepéquez","Santiago Sactepéquez","Rural","Ignorado","Hombre","27","25-29","Mayor","Ebrio","Pick up","Negro","Ignorado","Choque"
126,9,"Enero","Lunes",11,"Sacatepéquez","San Lucas Sacatepéquez","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Blanco","Ignorado","Vuelco"
127,10,"Enero","Martes",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Motocicleta","Celeste","Ignorado","Colisión"
128,10,"Enero","Martes",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Motocicleta","Gris","2006","Colisión"
129,10,"Enero","Martes",12,"Quetzaltenango","Quetzaltenango","Urbano","1","Hombre","24","20-24","Mayor","Normal","Automovil","Verde","Ignorado","Colisión"
130,10,"Enero","Martes",12,"Quetzaltenango","Quetzaltenango","Urbano","1","Hombre","26","25-29","Mayor","Normal","Motocicleta","Negro","2012","Colisión"
131,10,"Enero","Martes",1,"Quetzaltenango","Olintepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Rojo","1992","Colisión"
132,10,"Enero","Martes",1,"Quetzaltenango","Olintepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Verde","1992","Colisión"
133,10,"Enero","Martes",19,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Hombre","31","30-34","Mayor","Ebrio","Microbus","Negro","1989","Choque"
134,11,"Enero","Miercoles",9,"Guatemala","Villa Nueva","Rural","4","Hombre","23","20-24","Mayor","Normal","Motocicleta","Negro","2007","Colisión"
135,11,"Enero","Miercoles",9,"Guatemala","Villa Nueva","Rural","4","Hombre","Ignorado","Ignorado","Mayor","Normal","Cabezal","Gris","1997","Colisión"
136,11,"Enero","Miercoles",11,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Grua","Ignorado","Ignorado","Vuelco"
137,11,"Enero","Miercoles",17,"Escuintla","Palín","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Camión","Ignorado","Ignorado","Colisión"
138,11,"Enero","Miercoles",17,"Escuintla","Palín","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Cabezal","Ignorado","Ignorado","Colisión"
139,11,"Enero","Miercoles",18,"Escuintla","Palín","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Bus extraurbano","Verde","Ignorado","Vuelco"
140,11,"Enero","Miercoles",18,"Quetzaltenango","Quetzaltenango","Rural","2","Hombre","35","35-39","Mayor","Normal","Pick up","Blanco","2004","Colisión"
141,11,"Enero","Miercoles",18,"Quetzaltenango","Quetzaltenango","Rural","2","Hombre","30","30-34","Mayor","Normal","Motocicleta","Rojo","2008","Colisión"
142,11,"Enero","Miercoles",20,"Totonicapán","San Francisco el Alto","Urbano","1","Ignorado","Ignorado","Ignorado","Ignorado","Normal","Pick up","Ignorado","Ignorado","Colisión"
